overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
1.0,False,"11 19, 2010",AACGHYIQZWVIL,B00009ZIOF,{'Size:': ' 72-count'},S. Hamon,"I was shocked how poorly these color.  You know how you can tell the difference between a good Crayola crayon and those cheapy ones given to kids at restaurants that seem to be made out of recycled candles??  That is the difference between these RoseArt colored pencils and Crayola ones.  It is hard to put in words how bad they color...so lets just say ""these are crapola"".

To top off how bad they color, the box I received had numerous pencils labelled with the incorrect colors.  A hot pink one had the color maroon on it....a peach one had orange with a tan one labelled as light orange (even if they somehow were shades of orange, the so-called light orange is darker than the orange one!!  Same for blue, the one labelled light blue is darker.  I counted 12 that were blatantly labelled incorrectly.  Just for giggles, I posted the pic.  This will be sent to RoseArt as well.  I understand accidents happen, but this is a huge one.  I actually found myself in an argument with my 6 year old trying to explain maroon isn't actually a hot-pink color.  Sheesh!!

In short, don't buy crapola...get Crayola!!",Stick with Crayola...these color horribly and my box had colors labelled incorrectly...,1290124800,38,['https://images-na.ssl-images-amazon.com/images/I/51+r52s0xUL._SY88.jpg']
1.0,False,"08 11, 2015",A1P028J2TZJ8JI,B0013CFDPQ,{'Size:': ' 2 Count'},boo,"I have the hardest time getting this tape to cover completely.  It does not work well or easily. I talked to everyone at work and they all agreed.
Yet we all bought it!  Now I hear the cheaper ones at the $0.99 stores work better.",It does not work well or easily. I talked to everyone at work and they ...,1439251200,,
1.0,False,"11 21, 2015",A2XRJFCBUW45VJ,B000WJ1MJC,,,"Haven't used yet but it's not blue like shown it's more of a greenish yellow so it's not pretty, the bottle is white plastic not clear glass, and it's got floaters so I'm not sure I want to put it in my pen",Not as advertised,1448064000,41,['https://images-na.ssl-images-amazon.com/images/I/51sYQs50yyL._SY88.jpg']
1.0,True,"10 10, 2016",AJ0UWNL13S4KW,B000J3X9CY,"{'Size:': ' Medium nib', 'Color:': ' Black and Gold', 'Package Type:': ' Standard Packaging'}",Amazon Customer,"Very frustrated with the pen, especially for what I paid for it. I have tried different inks, including Waterman's own, and it constantly skips. It doesn't do it when I'm writing, only after I pause for even a few seconds. Sometimes it takes several tries to get the ink flowing again. It is a great looking pen, and I have the matching rollerball, which is awesome, but this fountain is pretty irritating.",It is a great looking pen,1476057600,5,
1.0,True,"09 20, 2014",A2R5QQBR79XURA,B001QIM0YE,,Bill Kearney,"One cartridge barely lasted TWO MONTHS.  This while printing no more than 50 pages, tops.  Started losing lines from the print head.  Tried running the cartridge alignment and cleaning processes in the HP 2175 PSC printer, to no avail.  Just now put in the second cartridge.  We'll see how soon it craps out.

NOT HAPPY.  So much for a bargain.  My advice, look for another cartridge supplier, these do not seem very reliable or consistent.",NOT HAPPY. So much for a bargain,1411171200,,
1.0,False,"02 24, 2015",A3J6MJWE1OE5X8,B000MFN1G8,{'Color:': ' Black'},ERIC HOLTMANN,DO NOT BUY THIS PRODUCT. CUSTOMER SERVICE IS A JOKE AND THIS  PRODUCT WILL NOT LAST YOU A YEAR AT BEST.,CUSTOMER SERVICE IS A JOKE AND THIS PRODUCT WILL NOT LAST YOU A YEAR AT BEST.,1424736000,,
1.0,True,"12 27, 2015",A2BU8M5ZU6TJLC,B000IO8SZC,{'Style Name:': ' Woodgrain effect'},RD,these look terrible in person.  I promptly returned this the day I got it.  It isn't wood- it's cheap wood grain sticker garbage.,these look terrible in person,1451174400,,
1.0,True,"12 14, 2013",A1EAUBDXZIMRD0,B004GYBGFY,{'Size:': ' 1 x Black'},topgun,Do not waste your time.  Go ahead and spend the extra money for a new uni.  This one made about 6 copies and died.  Not worth the effort.,Remanufactured HP Cartridge,1386979200,,
1.0,True,"12 11, 2016",A3T8ZCXOYVTSLX,B00VEDJF6M,,Daniella,"So I bought these cartridges and I was very worried and scared they wouldn't work. I have always just bought the HP brand of ink but as their ink is always so expensive I thought I would try an off brand. When I received the ink I was so happy in the beginning as they worked amazingly the same and  printed with great quality but after a few days my printer all of a sudden wouldn't print. It would continue to say there was a jam, or to clean the ink cartridges, or that the ink cartridges were empty. Now my printer won't print at all even when I went and bought the HP ink. I can only assume it was due to these cartridges that messed up my printer. very disappointed.",Messed up my printer,1481414400,,
1.0,True,"10 22, 2015",A1SF9YZ6JZXQYP,B01CTFCMX6,{'Size:': ' 1-Pack'},Jane Doe,Don't bother. They both literally broke in half after 10 uses!!,One Star,1445472000,,
1.0,True,"11 22, 2015",AVH2PWRW8MIDC,B00006IFM8,,Kaluaaha,good,One Star,1448150400,,
1.0,True,"04 4, 2016",A27UQ3GD0QKY9I,B013XCVDAC,"{'Item Package Quantity:': ' 6', 'Package Quantity:': ' 6'}",Jodi Walbaum-Vaniman,Very small,One Star,1459728000,,
1.0,True,"10 6, 2015",ARV1BFASRLET5,B002G9TX7E,,Michellemabelle,These are paper thin. Not what I expected at all. I am keeping them because it's not worth the hassle to return them.,These are paper thin. Not what I expected at ...,1444089600,,
1.0,True,"01 11, 2016",A3S8P20F52HP78,B001NIIDB6,{'Style:': ' Single pack'},Nora D.,Ink runs out too fast.,No ink,1452470400,,
1.0,True,"06 10, 2015",A2HGVH77JRL8GC,B00A14ZUGE,{'Color:': ' Black'},Kimberly Sullivan,"Could be a great phone, but the ringer and phone calls are too quiet to be useful in urban areas (Manhattan). Headphones don't help and you have to buy special pair to use with it. Better off using the app on your mobile phone.",Great phone for quiet rural areas.,1433894400,,
1.0,True,"12 29, 2017",A15HVRQDSBT73J,B0153I0418,,My Playful Kiddos Customer Support,"Set an item on and every 2 seconds it dropped 1 oz....for almost a minute... I had to leave the item on the scale, turn it off. Then turn it back on and remove the box to see the weight...and according to ups I was STILL 25% OFF",Unstable,1514505600,,
1.0,True,"06 26, 2014",A2I6119FB6XIQD,B000XJSJ9C,"{'Size:': ' Legal', 'Package Quantity:': ' 1'}",Steele,These folders are very thin and flimsy.  They will not stand up in a file cabinet on their own and will need to be put into a hanging file.,cost reflected in quality,1403740800,,
1.0,True,"07 18, 2014",A15I5MMIVMRA5J,B000EFLPDW,{'Color:': ' Black'},John Savara,Worked for maybe a day and then started shorting the outbound signal. I could always hear who I was speaking with but to them it sounded like someone was playing with the mute button. ings should be made.,Very poor quality!  Who ever makes this thing is willing to accept far too high a number of bad part failures.,1405641600,,
1.0,False,"08 17, 2009",A2JCSAVE09YI0T,B0016NDCQ4,,CookGirl-MO,"I bought this printer at Sam's club and it was a disaster.  After installing the software that came with the unit, I could not get it to print - either through a USB or wirelessly.  I even spent about 5 hours on the phone with technical support and together we could not get the software to work properly.  The mechanics of the printer were fine, since a test page printed from the button on the unit.  The issue with this printer, as so many others have mentioned, is the installation.  I ended up returning the unit to Sam's club and bought an Epson instead.  I had the Epson up and running without tech support in less than 15 minutes.",Does not live up to HP reputation,1250467200,,
1.0,True,"12 27, 2014",AVRSUV2ZTNJPY,B00EZXY49Q,,Mrs. Samson,Would not work in our fax machine.  Refurbished ink?,all in one unit refused all these inks as invalid,1419638400,,
1.0,True,"05 28, 2015",A1WHUWWTLOGWPZ,B00OE46GRO,,Jlmarrero41,This is not High capacity. Not good.,Not good.,1432771200,,
1.0,True,"02 10, 2017",A2W2FU7NB0XSL0,B01A6JLWVK,,pennym...,Very unhappy with this purchase. Some pieces were delivered in error - holes did not connect - some holes were not deep enough or too deep to be of any use to hold it together. Or on the wrong side of the wood. I'm returning the purchase.,Returning it...,1486684800,2,
1.0,True,"10 7, 2013",AFDJHAWAY9YWF,B00A7WAL28,,Heather,"So tonight I ran out of ink. No problem, I bought 5 of these cartridges thinking I was saving myself some serious money. Well, I wasn't. This ink cartridge doesn't fit my printer. It says it's '564' and I should have suspected when I saw how much slimmer it was, that it wasn't what it said it was. But I read the directions and it says to ""ignore and close the message box"" when you get an error about loading the cartridge. I inspected it side by side with my authentic HP cartridge and there are a few things different that make it so it's not compatible. Don't waste your time or money. I had to run out to the store at 10:30pm because I was in the middle of shipping a batch of orders that had to go out in the morning. They say I can return them within 30 days. I guess we'll find out.","Not the size stated, doesn't fit",1381104000,,
1.0,True,"09 7, 2017",A2EHYCA29NSQLU,B004DANDN4,{'Color:': ' BLACK SKIN NO NYLON'},Bud,"It's not flat.  What can I say about a convex wrist pad that is curved up (both left/right and front/back) about 1/4 of an inch?  Like using a rubber saucer.

Plus, the top was already dented with marks while the bottom doesn't grip well (or at all since it's convex).  Moderately stinky, and I doubt the surface would hold up at all.

Just really a terrible product.  I don't know what they were thinking.",NOT flat,1504742400,,
1.0,True,"02 28, 2018",A372B9KP7ZIVLR,B000093L22,"{'Color:': ' CHROME', 'Style:': ' One Stapler'}",Deanna,Jammed first day of use.,One Star,1519776000,,
1.0,True,"06 27, 2017",A36MX1F4HHN331,B00X9ALKPM,,Joseph P Moore,Did not fit correctly into my Brother MFC-L2740DW. Had to struggle to fit it in place. It caused my printer to make loud horrible noises while printing and the paper was coming out red hot. Your competition V4INK is hands down a better product for my Printer,It caused my printer to make loud horrible noises while printing and the paper was coming out ...,1498521600,2,
1.0,True,"03 14, 2016",A3GA7S8LPQUC3T,B000WKCJKW,{'Color:': ' Peach'},JMF12345,"This is NOT a marker. It is called Copic Markers R32-Various Sketch, Peach but it is a container of INK (a refill) for a MARKER. Nowhere on the listing does this say that this is a ""bottle"" of ink to be used in an empty marker you own or intend to buy.
I think the listing for this INK REFILL is very, very misleading. It should clearly say that it an INK REFILL FOR COPIC MARKERS and not call itself Copic Markers R32-Various Sketch. That tells you nothing about the real product.",THIS IS NOT A MARKER -- IT'S JUST AN INK REFILL,1457913600,,
1.0,True,"12 21, 2017",A3CR3IG8W3N2G7,B00EQGBAIU,{'Color:': ' Black'},L. Caballes,"nice to take a break when standing.... good construction... simple.

[edit] changing to 1 star
bolt sheared off like other reviews mentioned.  major safety hazard.
i only weight 160lbs, and was using it normally.
company has yet to respond (sent email a month ago)",Five Stars,1513814400,,
1.0,False,"02 17, 2016",A2FFTDC3PTT47,B015QG8XCO,,hilde wunderbar,"Until you get a bad cartridge that screws up your printer, these are great. A black cartridge was bad and now I no longer can print black colors. I had to print DARK blue for a long time on all my papers to turn in. Luckily, my professors weren't picky at that point as to the color of the ink. Because using these voids the warranty on the printer, I no longer will use these. I ended up purchasing another printer because it was cheaper than repairing it -- personally made me feel wasteful.",Use with caution,1455667200,,
1.0,True,"12 8, 2017",A2XB00VXUY5Z0H,B00RQ3JQMM,,Yunarky Hernandez,Sucked,One Star,1512691200,,
1.0,True,"09 26, 2015",A2CF4NGV5Z1TKU,B005IVL0ZU,{'Color:': ' Yellow'},Steve,"Explodes, wears out fast. Low quality printing. Yes, I am buying directly from Epson.",Too low quality,1443225600,,
1.0,True,"10 18, 2014",A1NY4KIDC2DULY,B00A8YIA3W,{'Size:': ' Single'},Michigan Mom of 2,This was junk.  I purchased this to keep in the kitchen to have close by when my kids did their homework.  It didn't last at all.  Just a few months and it bit the dust.  Don't waste your money.,Don't waste your money,1413590400,,
1.0,False,"10 22, 2016",A39L18TA0ZQ8PO,B0013CFDPQ,{'Size:': ' 2 Count'},hey!,this stuff is horrible whether you buy it on amazon or staples. Just save yourself money and stick to the old fashion wet white out that feels like you're painting,horrible,1477094400,,
1.0,True,"11 26, 2008",A1E3RTMBHQ2RJE,B0012CMXKK,,Pen Name,"A low quality phone from China. Even Chinese Uniden's sound quality is better than this V-tech's. The highest volume setting gives out a volume level that can not even be heard. Waste of money, besides it took ages for Amazon to ship it.",Mediocre,1227657600,5,
1.0,True,"06 13, 2013",A2H2YT3S9Z8GPX,B001JPDQ4C,,cheapinkman,After trying to get it to work four times I finally resolved what was wrong and the reason it would not work was dirty contact points on the chip. After cleaning my printer accepted the cartridge and started printing. Look at the contacts through a magnifier if it will not work and you can see what I mean. poor quality. I will not buy any more of these.,poor ink cartridge,1371081600,,
1.0,False,"09 17, 2011",A60D5HQFOTSOM,B004I5AQ4S,,DanCooperMedia,"The simplest way to put it is: this doesn't remotely work. After you put in 4 AA batteries, you might as well throw it out. The motor doesn't turn the sharpeners. Hello Amazon: take it off the market.",100% JUNK,1316217600,2,
1.0,True,"12 28, 2012",A3LXE6P0ITX1R9,B0026ZPX2C,{'Color:': ' Silver/Blue Handle'},C. Scheck,"This scissor couldn't cut a fart.  We're talking plastic bags... thin plastic bags that little screws come in.

I was thinking of stabbing myself in the eye trying to get a bag open.  It probably would have worked for that.",Keep looking,1356652800,,
1.0,True,"11 9, 2017",A2K4AF77SP0MLR,B01GAIU7HG,"{'Color:': ' Blue', 'Style:': ' Printer'}",Russel Rogers,"Purchased this printer to place in a carry bag and stow in my trunk to use while on mobile appointments. During the set up phase the printer jammed 3 out of 5 times that I tried simple job. If you want to print double sided the directions are for you to manually take the printed page and manually put in back in the feeder quickly. However the next page feeds automatically & starts before you can grab the sheet & feed it back in. Also, it prints very slow, stops to think for a bit and I was only printing 3 page documents. *Returned. Wasted my time.","Disappoing to br an HP, I expect more even at that low price range.",1510185600,,
1.0,True,"01 24, 2016",A5V7LRVC6YCEL,B005OQWLXE,,Sun_soul,Dry out very fast.,Dryout fast,1453593600,,
1.0,True,"03 20, 2018",A2FAWO0517YUWE,B000WU4H5C,"{'Size:': ' 25""'}",Art Chester,"I bought this extra-long wrist rest to cushion my wrists, forearms and elbows while typing on my computer. After about two weeks I saw a blob of white sticky stuff next to it. The seam had split and it was leaking its contents onto my desktop. Naturally I returned it to Amazon and they sent a new one. The same thing happened to the new one, this time after only one week of use!
This is a comfortable wrist rest, but made useless by either a design flaw or lack of quality control. I don't recommend it until they correct those problems.","In one week, it burst a seam and oozed gel onto my desk",1521504000,,['https://images-na.ssl-images-amazon.com/images/I/71kA5q7bXzL._SY88.jpg']
1.0,True,"12 30, 2014",AFXGZFC1OM90X,B0017OYIO2,"{'Size:': ' 2 Pack', 'Color:': ' Black'}",archie loch,"Caps fit loose and fall off poor QC. Ink does not flow smoothly. almost like writing on sandpaper. An inexpensive BIC writes much better. Do not waste your money on this item, I have owned Zebra pens and no issues,but these are overpriced junk.",Caps fit loose and fall off poor QC. Ink does not flow smoothly,1419897600,,
1.0,True,"03 30, 2018",A2E5PBM02AF8X5,B000J0B2YY,,James Bond,"TOO THIN TO USE ON ANY CLASSROOM BOARD!  THIS MUST BE CLEARLY STATED!  IT IS FOR KIDS!  A TOY OR HOME USE.
DIMENSIONS ARE NEEDED!",TOO THIN TO USE ON ANY CLASSROOM BOARD! THIS ...,1522368000,,
1.0,True,"11 5, 2015",A2183WOOFUBXCV,B018RFRDJU,,DaWizSista,"Not what I expected in a fine point pen.  The pens come in a nice little case to keep them organized but outside of that, they suck!  Most of them in order to start them writing you have to always scratch back and forth.  I will not be making another purchase of these pens again.  I will stick with FORAY Stylemark Fine.  I do not recommend these DONG-A-Fine.  If you purchase them you will feel like a DING-A-LING, so don't waste your money!!!","Nice pen pack holder, POOR PENS for WRITING!!!!",1446681600,3,
1.0,True,"09 17, 2015",A1BT1Q18LX0QT9,B000VW3YLE,{'Style:': ' original'},Horse lover,"There are HUGE.  Much too big for normal books.  I can't imagine a situation where they would work.  I bought because of positive reviews, and really wanted ""non-skid"".  They may not skid, but they are too large to be of any use.  And, postage to return them costs almost as much as the items, so I am stuck with them.",Too big for normal uses,1442448000,2,
1.0,True,"04 28, 2012",A2UIU6MIIT4XPY,B001OIXVXK,"{'Color:': ' Natural', 'style name:': ' My Lifestory'}",K. Miller,"Love to journal, so got this life story journal.  Found the product description not really as the life journal is in real life.  I ended up giving this as a gift.  I found in unhelpful to people who have journaled a long time.  It offers seasonal journaling.  Good for a young person wanting to start journaling. Disappointed.",HOPES,1335571200,3,
1.0,True,"10 3, 2015",A1G8KX9OYFM3Z6,B00000JRRD,{'Format:': ' Personal Computers'},Callofduty62,This is not a gel pad. It;'s stiff foam. It's more annoying than comforting.,It's not gel inside.,1443830400,,
1.0,False,"08 26, 2015",AM7XY1D576WY3,B0015MX6YO,,E. Leftwich,Horrible printer.  Continual problems with wifi.  Gives error messages telling me to remove tape even with true lexmark ink cartridge.  Absolute waste of money.,Horrible printer. Continual problems with wifi,1440547200,,
1.0,True,"05 1, 2008",AIV5TKLWY4CU3,B000J2EQPY,,Benjamin Bryan,"Answering machine crashed once a week.  Had to be ""rebooted"" to reconnect to wireless about once a month.

Mac, Linux support not great.  I had to download drivers, the drivers weren't built into OSX and Linux.

I printed only two photos, from then on I printed nothing but black and white, then one day it said it ran out of Cyan and won't print until I replace the cartridge.",Not reliable.  Won't print black and white if out of color,1209600000,4,
1.0,True,"05 29, 2015",A1FME1HYVK2RIW,B00RBZY2MO,,Doug,First time I have bought any thing other than HP ink. Did not work with my HP 6830. Getting constant error messages from all the cartridges. Sending back and I will never buy again.,Waste of time and money,1432857600,,
1.0,False,"03 8, 2012",A9QFFRI9CM1XJ,B0002LD14O,"{'Size:': ' 2-Count', 'Color:': ' Fluorescent Yellow'}",J,"Im absolutely amazed by how bad this product is. You cant even control where you are highlighting... its pretty much a guess. On top of that the tip is so broad and malleable that it is impossible to highlight precisely. The tip is like a soft crayon so it changes shape as you use and this causes the pattern to be different each time you highlight. If you push too hard excess gel/wax will deposit on whatever you are highlighting. The actual yellow color is great, but everything else is a complete joke.

If this was the cheapest highlighter on the market it would still be a waste of money.",Really!?,1331164800,,
1.0,False,"03 30, 2012",A38WWZWBRBWTV1,B0017OCLOQ,,Customer # 10,"Mine works OK, occasional paper jam, though, very sensitive. Worst trait is the way it uses ink. I do a lot of printing so bought XL cartridge as is cheaper per page. However, what I think is happening is:  the ""smart"" printer doesn't recognize the larger cartridge. Therefore, it thinks the cartridge is quite low long before it is. So it decides on its own to use colored ink for graphics or whatever that were originally colored even though you change the settings to print them in b/w to save ink. The result is that it uses up all the colored ink and when I want to print something in color, it is all gone. As the black cartridge gets lower in ink, it doesn't even give me the choice of b/w. It stinks. I am going to buy another brand all-in-one and ditch this one as soon as I use up my last cartridge of black ink.",Ink waster,1333065600,,
1.0,True,"04 25, 2014",A3DOLGS4LOSKLR,B000SVN94K,"{'Size:': ' 2 Packs-2,500 pages'}",Kathy N. Smith,The blinking light that says to change cartridge never went off. Copies are not as clear as a actual Canon 104 bought at Staples. Never buy again.,not a good replacement,1398384000,,
1.0,True,"07 7, 2016",A25YCZEEEW68TH,B000WP32ZI,,Amazon Customer,This ink sucks. Don't waste your time.,One Star,1467849600,,
1.0,True,"02 25, 2017",A18BOXF138XC0G,B010RLCVR6,,Judy,"I have used 5 (FIVE ) different pens in less than 5 Days ? These pens seemed to be TOO GOOD TO BE TRUE! Well, do not waste Your Money! These pens stop writing Before I finish writing a CARD! The Pen Looks ""FULL"" However They will not WRITE! Going Forward, I will stay with a a name I KNOW!",Simple do Not WORK !!!,1487980800,,
1.0,True,"09 18, 2016",A2A95D7E00BVWV,B00006IE22,,Amazon Customer,Return policy not good.,One Star,1474156800,,
1.0,False,"04 14, 2011",A2XH9HJ45HME6B,B00176M3CO,,JW,"I purchased this printer a couple of years ago and had it for 6 months before I even opened the box...my HP printer was still working.  After installing the software, print head and ink cartridges, I verified that it was working and turned it off.  After a couple of months, I turned it on again and tried to print...it wouldn't.  I ran out of ink trying to clean the printhead...bought 2 new ink cartridges and tried again...didn't work.

I contacted Kodak and because it was still under warranty, they replaced the print head.  The new print head worked but because I didn't use the printer on a weekly basis, the print head clogged again in a couple of months...used up both cartridges to try to clean it but ran out of ink again.
Because my warranty expired, I went online to find a solution...found a website that discussed cleaning a clogged printhead.  I ran through the process a couple of times, purchased another set of ink cartridges and did the cleaning cycle...black print was illegible and color photos looked like ghosts and zombies.  I did another clean cycle and was able to watch the ink disappear from the cartridges with the onscreen monitor.  I was shocked to see how much ink was being used in the cleaning process!

Kodak might advertise low prices for their cartridges but they don't hold much ink.  You could easily use up a quarter of the cartridges during the cleaning process if that works at all.
If you use the printer on a daily basis it might work ok but you'll run out of ink quite frequently.

I will not be purchasing any more Kodak printers...I'll stick to HP from now on.",WORST PRINTER EVER!,1302739200,,
1.0,True,"04 26, 2014",A1BS8JOR3BUKB8,B00006IELO,"{'Size:': ' 1.5 Inch', 'Color:': ' White'}",b.music,"I have used many ""Avery Durable View Binders"" in the past with no issue (from other retailers), but the items coming from this seller are NOT new. If they are new, they are 2nd quality defective overstock. I purchased 2 white 1.5"" binders.

- The binders come without the paper inserts in the view sleeve and without the spine stickers identifying the product.
- One of the binders was completely TORN at both seams exposing the inner cardboard.
- The other binder had a large defect with a huge ripple in the back inside cover making it impossible to insert papers into the pockets and causing damage to anything inserted into the binder (as it would have to rest on the large ripple if the binder was lying flat on a table).
- The binders also had a coating of dirt over them.

Needless to say, I returned the binders to Amazon immediately. Big disappointment.

UPDATE NOV 2014:: If you're looking for an Avery Durable View Binder, buy&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/this-one/dp/B001O6SN0I/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">this one</a>.",Do not buy from this seller! Not new product!,1398470400,24,
1.0,True,"04 4, 2017",A1O9K71LTVMR50,B0159BSVPU,{'Size:': ' 6-Pack (54.6 Yards/Roll)'},Amazon Customer,does not stick well,One Star,1491264000,,
1.0,True,"01 24, 2014",A2R5MDFI6LSC9A,B005KQ3AFG,,PAUL J,"it didn't work for long,, Usb cable did not fit right
the plug had a loose poor fit, than it stoped working,,, Waste of money",Laptop cooler and stand,1390521600,,
1.0,True,"10 7, 2013",A1AP5VOIAULPSI,B000VSAGH8,,James Kemp,"None of the cartridges would print, opened them to find the ink was all dried up  I guessing that is why they are so cheap, all you end up with is a ink container to recycle",Save your money they do not print,1381104000,,
1.0,True,"04 5, 2017",AI0PIMYCT0HIT,B01D8Z1VCE,,gear head from the coast of maine,"these are OK.. they aren't the best (like Prismacolor, which ARE the best on the market) and they aren't the worst (Crayola/no brand).  The BAD thing is I have sharpened them twice so far and 4 of them had broken lead so bad they are almost gone. AND the company likes to harass via email to MAKE you post a 5-star review.  I don't like that.

~THIS COMPANY WILL HARASS YOU IF YOU WRITE A GOOD BIAS REVIEW!~
  ~AVOID LIKE THE PLAGUE!~

This kit comes with some odd accessories.. like a paint brush (?) and a pencil extender (are they assuming their pencils ARE going to break and the consumer will need this JUST to use the color after they find no broken lead), a very useless eraser and a teeny tiny pencil sharpener.  The Roll they are in is nice... except for the useless other snap on the end.  But, anyways.. do not be fooled into thinking these are the best pencils in the world.. if you want those, save up and buy a pack of Prismacolor pencils.

Edit.
After being sharpened three times, one has completely split in half. 4 have had broken lead the look like I have been using then non stop for a month. And the coverage if these is awful.  Those that love these have either been paid to write fake reviews or got them at a discount or don't know any better.. I have never ever had a good quality pencil break on me and I have been coloring longer then it has been popular. Again AVOID THESE AND BUY SOMETHING ELSE.","they aren't all they are ""cracked"" up to be. Worse then crayola.",1491350400,7,
1.0,True,"11 20, 2014",A2XAW3Q4QTZ01H,B004LCJ450,{'Color:': ' White'},attackdog,Poorly packaged. All pieces of chalk were broken.,One Star,1416441600,,
1.0,True,"11 28, 2014",A1FA63DGIFG1GU,B00IACC72E,,Green Lantern,"Spent $150.00 on a large order of LINKO cartridges.  The first two cartridges were printing vertical lines on the papers and had to be thrown out in the trash,  Each cartridge is $19.00.  Upon closer closer inspection of the cartridges I noticed the green filament inside the cartridge was deteriorating and  which causes the vertical lines to print up and down the paper.
Before leaving this 1 star review, I tried to call the seller during normal business hours, and nobody answers the phone.

I won't be purchasing these cartridges again.",LINKYO- Buyer Beware,1417132800,,
1.0,False,"03 9, 2015",A373TBBN0C1VFC,B00EU9V588,{'Format:': ' Office Product'},Larry F. Saxon,"Owned the XP-600 and it quit working after just over a year. It would lock up on a print job, and go into a self ""Cleaning The Print Head"" mode (Which Epson tech says it doesn't do) and you could see it draining the ink out of the cartridges. I ended up buying the XP-610, on 2-02-15, and it has done the same thing twice since I bought it. Epson says it doesn't do that but I have pictures proving it does. The first time I was printing a page from the internet and the second time it was a MS Excel file. I've printed less than 20 pages of print, on the cartridges that came with it, and the ink levels are already down below halfway. It is something that Epson builds into their printers to eat up your ink cartridges. That's why they sell the printers so cheap. They know they'll get it back on the ink. I do projects on DVD so I need a printer that will do that and I'm sorry to say Epson is the best at that. The attached photo is the 8th picture in the series of the XP-600 locked in a Head Cleaning process and completely drained all five of the brand new ink cartridges.",DON'T BUY!!!!! WILL EAT YOUR INK,1425859200,5,['https://images-na.ssl-images-amazon.com/images/I/811bQ6j5CoL._SY88.jpg']
1.0,True,"12 15, 2015",A2DBC2VXBWR3FX,B009PDAX00,{'Color:': ' 3xPhoto Black'},V.A.K,Should be LOW Yield.,Disgusted,1450137600,,
1.0,True,"02 6, 2017",A1T69YBEAJI30M,B01C4TNGWI,,vocman,Printers are usually easy to install whether it's usb or wireless. The set up on this model was horrible. When it briefly worked the quality of the font was inferior and unacceptable when printing professional reports. I sent it back the same day I received it which was a first as I have owned and kept all of my printers. This was the singular exception!,A one star would be generous for this model,1486339200,3,
1.0,True,"01 16, 2016",A985ZWP7261WK,B00007E7D0,{'Size:': ' Letter Size'},Ace77,"These Avery transfers are terrible. I have never had to write a negative review before, but this is it!
I have a HP Photosmart C8180 printer and have used HP c6049a transfers with great success for transferring photos
for both shirts and quilts that my wife makes for family.  I tried everything with these Avery transfers, and the photos
always come out with strong green colorization.  Green Faces and green everything.  MAYBE  \they do not work with
HP printers and Ink???
I will never buy again.  I bought 2 Packages of 12, and used five sheets trying to get a decent transfer. A waste of money
on Transfers and Ink.  A waste of both my wifes and my time.
I do not reccommend!",Avery Transfers NOT reccommended!!,1452902400,,
1.0,True,"05 23, 2013",AHQI6TUB9ODJI,B003ODFSWA,,New York,"I bought this for my office. Opened t
From the box item was broken. I would not recommend anyone this item",Horrible,1369267200,,
1.0,True,"07 24, 2017",A6D7KTUCX8J28,B00RN08584,"{'Color:': ' Black', 'Style:': ' Printer'}",Narda Dixon,"I have been using computers and printers since 1995.  This has to be the most difficult printer to install I've ever encountered.  Spent hours on the internet trying to figure it out.  It is not a very sturdy to boot.  I've had other Canon Pixmas, just don't know if this is how they're making them now or if it's just this model  Thumbs down.",It is not a very sturdy to boot,1500854400,,
1.0,False,"05 16, 2017",AHMI8DQJJMB49,B00063NWVU,{'Color:': ' Blue'},Colin S. Martin,"This is for blue/black. The other two colors the seller has are four stars for general performance.

Blue/black is a color I like. But this ink is AWFUL. it's no longer the iron gall formulation it used to be, and it's somehow unusably dry writing, with hard starting on smooth papers (some strange surface tension makes it behave like every pen has baby's bottom) and it feathers and bleeds really badly on cheap paper.

The color is good, and shading is solid, there's actually some gorgeous dark red sheen when you lay it down crazy wet, but this ink is HORRIBLY behaved.

I did find a use for this ink, and it's in a brush pen. Just fill a brush pen with blue/black and you have a contrasting blue/grey to solid black with deep red sheen depending on how wet you lay it down. It works quite nicely as a brush pen ink, but in a fountain pen, avoid lamy blue/black and go for parker quink, noodlers, monteverde, or literally anything else.",Blue/black is HORRIBLE.,1494892800,,
1.0,True,"09 11, 2015",A7Z8ODISNA46V,B000Y06EB0,,MsBoo,"Did not live up to Swingline standards.  Kept splitting, jamming and locking up stapler.  No problem with regular staples--just these,",Did not live up to Swingline standards. Kept splitting ...,1441929600,,
1.0,True,"10 28, 2014",AVMS1SAK5U8XB,B00LN0OM14,{'Style:': ' magicJack GO'},Richard Strawn Sr,Cannot finish registration. keeps giving me an error of try new card... well I tried all my credit cards!!!,Cannot finish registration,1414454400,,
1.0,True,"06 7, 2014",AXGVFAXLJTBJ2,B0073W729K,{'Size:': ' 5 Cordless Handsets'},Bobby Barone,"UPDATE 8-2014// number 4 of 5 handset went bad today ,,same problem  headset jack came loose and joined the other 3...unreal

I will be brief,,ECHO city,,,and the headset Jacks are garbage i've had 3 of the 5 so far break off the motherboard..stay away pure trash","Garbage, Panasonic quality has gone down the toilet",1402099200,,
